,Title,Tomatometer,Audience_Score
0,The Shawshank Redemption,91%,98%
1,The Godfather,97%,98%
2,The Dark Knight,94%,94%
3,The Godfather Part II,96%,97%
4,12 Angry Men,97%,97%
5,Schindler's List,98%,97%
6,The Lord of the Rings: The Return of the King,94%,86%
7,Pulp Fiction,92%,96%
8,The Lord of the Rings: The Fellowship of the Ring,91%,95%
9,"The Good, the Bad and the Ugly",97%,97%
10,Forrest Gump,71%,95%
11,Fight Club,79%,96%
12,The Lord of the Rings: The Two Towers,95%,95%
13,Inception,87%,91%
14,Star Wars: Episode V - The Empire Strikes Back,95%,97%
15,The Matrix,83%,85%
16,Goodfellas,94%,97%
17,One Flew Over the Cuckoo's Nest,93%,96%
18,Se7en,83%,95%
19,It's a Wonderful Life,94%,95%
20,Seven Samurai,97%,97%
21,Interstellar,73%,86%
22,The Silence of the Lambs,95%,95%
23,Spider-Man: Across the Spider-Verse,96%,94%
24,Saving Private Ryan,94%,95%
25,City of God,91%,97%
26,Life Is Beautiful,81%,96%
27,The Green Mile,79%,94%
28,Star Wars: Episode IV - A New Hope,93%,96%
29,Terminator 2: Judgment Day,91%,95%
30,Back to the Future,93%,94%
31,Spirited Away,96%,96%
32,The Pianist,95%,96%
33,Psycho,97%,95%
34,Parasite,99%,90%
35,Gladiator,80%,87%
36,The Lion King,93%,93%
37,Léon: The Professional,74%,95%
38,American History X,84%,96%
39,The Departed,91%,94%
40,Whiplash,94%,94%
41,The Prestige,77%,92%
42,The Usual Suspects,88%,96%
43,Grave of the Fireflies,95%,95%
44,Harakiri,97%,97%
45,Casablanca,99%,95%
46,Oppenheimer,93%,91%
47,The Intouchables,76%,93%
48,Modern Times,98%,95%
49,Cinema Paradiso,90%,96%
50,Once Upon a Time in the West,96%,95%
51,Rear Window,98%,95%
52,Alien,98%,94%
53,City Lights,95%,96%
54,Apocalypse Now,98%,94%
55,Memento,94%,94%
56,Django Unchained,87%,92%
57,Raiders of the Lost Ark,93%,96%
58,WALL·E,95%,90%
59,The Lives of Others,92%,96%
60,Sunset Blvd.,95%,95%
61,Spider-Man: Into the Spider-Verse,97%,94%
62,Aliens,98%,94%
63,Inglourious Basterds,89%,88%
64,The Dark Knight Rises,87%,90%
65,American Beauty,87%,93%
66,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,98%,94%
67,Oldboy,82%,94%
68,Coco,97%,94%
69,Amadeus,89%,95%
70,Toy Story,100%,92%
71,Braveheart,76%,85%
72,Das Boot,98%,96%
73,Avengers: Endgame,94%,90%
74,Joker,69%,88%
75,Princess Mononoke,93%,94%
76,Good Will Hunting,97%,94%
77,Your Name.,98%,94%
78,Once Upon a Time in America,88%,93%
79,3 Idiots,100%,93%
80,High and Low,95%,95%
81,Singin' in the Rain,100%,95%
82,Capernaum,90%,93%
83,Requiem for a Dream,78%,93%
84,Toy Story 3,98%,90%
85,Come and See,95%,95%
86,Star Wars: Episode VI - Return of the Jedi,83%,94%
87,Eternal Sunshine of the Spotless Mind,92%,94%
88,2001: A Space Odyssey,92%,89%
89,The Hunt,92%,93%
90,Reservoir Dogs,90%,94%
91,Ikiru,97%,97%
92,Lawrence of Arabia,94%,93%
93,Citizen Kane,99%,90%
94,M,95%,95%
95,The Apartment,94%,94%
96,North by Northwest,94%,94%
97,Vertigo,92%,93%
98,Double Indemnity,95%,95%
99,Amélie,89%,95%
100,Scarface,79%,93%
101,Full Metal Jacket,90%,94%
102,A Clockwork Orange,87%,93%
103,Incendies,91%,92%
104,Heat,89%,94%
105,Up,98%,90%
106,Hamilton,98%,89%
107,To Kill a Mockingbird,93%,93%
108,The Sting,93%,95%
109,A Separation,99%,92%
110,Indiana Jones and the Last Crusade,84%,94%
111,Metropolis,92%,92%
112,Die Hard,94%,94%
113,Like Stars on Earth,93%,96%
114,Snatch,74%,93%
115,Bicycle Thieves,94%,94%
116,L.A. Confidential,99%,94%
117,Taxi Driver,89%,93%
118,1917,89%,88%
119,Downfall,90%,94%
120,Dangal,93%,93%
121,For a Few Dollars More,92%,94%
122,Batman Begins,85%,94%
123,Top Gun: Maverick,96%,99%
124,Some Like It Hot,94%,94%
125,The Kid,95%,95%
126,The Wolf of Wall Street,80%,83%
127,The Father,98%,92%
128,Green Book,77%,91%
129,All About Eve,94%,94%
130,Judgment at Nuremberg,93%,93%
131,The Truman Show,94%,89%
132,There Will Be Blood,91%,86%
133,Casino,79%,93%
134,Ran,96%,95%
135,Shutter Island,69%,77%
136,Pan's Labyrinth,95%,91%
137,The Sixth Sense,86%,90%
138,Jurassic Park,91%,91%
139,Unforgiven,96%,93%
140,A Beautiful Mind,74%,93%
141,The Treasure of the Sierra Madre,93%,93%
142,No Country for Old Men,93%,86%
143,Yojimbo,96%,96%
144,Kill Bill: Vol. 1,85%,81%
145,The Thing,85%,92%
146,Monty Python and the Holy Grail,96%,95%
147,The Great Escape,95%,95%
148,Finding Nemo,99%,86%
149,Rashomon,93%,93%
150,The Elephant Man,92%,93%
151,Chinatown,99%,93%
152,Howl's Moving Castle,87%,93%
153,Dial M for Murder,90%,92%
154,Gone with the Wind,90%,92%
155,V for Vendetta,73%,90%
156,Raging Bull,92%,93%
157,Prisoners,81%,87%
158,"Lock, Stock and Two Smoking Barrels",75%,93%
159,The Secret in Their Eyes,89%,93%
160,Spider-Man: No Way Home,93%,98%
161,"Three Billboards Outside Ebbing, Missouri",90%,87%
162,The Bridge on the River Kwai,96%,93%
163,Trainspotting,90%,93%
164,Fargo,94%,92%
165,Warrior,84%,92%
166,Gran Torino,81%,90%
167,Catch Me If You Can,96%,89%
168,My Neighbor Totoro,93%,94%
169,Million Dollar Baby,90%,90%
170,Klaus,95%,96%
171,Harry Potter and the Deathly Hallows: Part 2,96%,89%
172,Children of Heaven,83%,95%
173,Blade Runner,88%,91%
174,12 Years a Slave,95%,90%
175,Before Sunrise,100%,93%
176,The Grand Budapest Hotel,92%,86%
177,The Gold Rush,93%,93%
178,Ben-Hur,85%,89%
179,Barry Lyndon,87%,92%
180,Gone Girl,88%,87%
181,Hacksaw Ridge,84%,91%
182,On the Waterfront,95%,95%
183,In the Name of the Father,94%,95%
184,Memories of Murder,93%,93%
185,The General,92%,92%
186,The Deer Hunter,86%,91%
187,Wild Strawberries,94%,94%
188,Wild Tales,94%,92%
189,The Third Man,93%,93%
190,The Wages of Fear,95%,95%
191,Sherlock Jr.,95%,95%
192,Dead Poets Society,84%,92%
193,Mad Max: Fury Road,97%,86%
194,"Monsters, Inc.",96%,90%
195,Mr. Smith Goes to Washington,94%,94%
196,Jaws,97%,90%
197,How to Train Your Dragon,99%,91%
198,Mary and Max,92%,92%
199,The Seventh Seal,93%,93%
200,Ford v Ferrari,92%,98%
201,Room,93%,93%
202,The Big Lebowski,80%,93%
203,Tokyo Story,93%,93%
204,Ratatouille,96%,87%
205,Rocky,92%,69%
206,Hotel Rwanda,91%,94%
207,Logan,94%,90%
208,The Passion of Joan of Arc,93%,93%
209,Spotlight,97%,93%
210,Platoon,89%,93%
211,The Terminator,100%,89%
212,Jai Bhim,100%,100%
213,Before Sunset,94%,92%
214,Rush,88%,88%
215,Network,92%,93%
216,The Exorcist,78%,87%
217,The Best Years of Our Lives,93%,93%
218,Stand by Me,92%,94%
219,La haine,95%,95%
220,The Wizard of Oz,98%,89%
221,Pirates of the Caribbean: The Curse of the Black Pearl,80%,86%
222,The Incredibles,97%,75%
223,Into the Wild,83%,89%
224,My Father and My Son,97%,97%
225,To Be or Not to Be,93%,93%
226,The Handmaiden,91%,91%
227,The Grapes of Wrath,88%,88%
228,The Battle of Algiers,95%,95%
229,Groundhog Day,94%,88%
230,Amores Perros,93%,94%
231,Rebecca,92%,92%
232,The Sound of Music,83%,91%
233,Cool Hand Luke,100%,95%
234,Pather Panchali,93%,93%
235,The Iron Giant,96%,90%
236,It Happened One Night,93%,93%
237,The Help,76%,89%
238,The 400 Blows,94%,94%
239,Persona,94%,94%
240,Life of Brian,96%,93%
241,Aladdin,95%,92%
242,Avengers: Infinity War,85%,92%
243,The Shining,83%,93%
244,The Great Dictator,92%,95%
245,Witness for the Prosecution,95%,95%
246,Paths of Glory,96%,95%
247,Inside Out,98%,89%
248,Hachi: A Dog's Tale,64%,84%
249,Gangs of Wasseypur,94%,90%
